protocol	downlink	uplink	throughput	delay	avg_capacity
SPROUT	 Verizon-LTE-short.down	 Verizon-LTE-short.up	2.69	85	5.04
SPROUT	 ATT-LTE-driving.down	 ATT-LTE-driving.up	2.41	147	5.19
SPROUT	 TMobile-UMTS-driving.down	 TMobile-UMTS-driving.up	0.76	1070	2.03
SPROUT	 Verizon-EVDO-driving.down	 Verizon-EVDO-driving.up	0.21	2109	0.52
SPROUT	 Verizon-LTE-driving.down	 Verizon-LTE-driving.up	4.40	8958	9.74
TCP VEGAS	 Verizon-LTE-short.down	 Verizon-LTE-short.up	4.25	622	5.04
TCP VEGAS	 ATT-LTE-driving.down	 ATT-LTE-driving.up	2.54	473	5.19
TCP VEGAS	 TMobile-UMTS-driving.down	 TMobile-UMTS-driving.up	1.54	2262	2.03
TCP VEGAS	 Verizon-EVDO-driving.down	 Verizon-EVDO-driving.up	0.38	2969	0.52
TCP VEGAS	 Verizon-LTE-driving.down	 Verizon-LTE-driving.up	6.67	207	9.92
TCP CUBIC	 Verizon-LTE-short.down	 Verizon-LTE-short.up	5.03	7466	5.04
TCP CUBIC	 ATT-LTE-driving.down	 ATT-LTE-driving.up	5.18	9949	5.19
TCP CUBIC	 TMobile-UMTS-driving.down	 TMobile-UMTS-driving.up	2.02	26683	2.03
TCP CUBIC	 Verizon-EVDO-driving.down	 Verizon-EVDO-driving.up	0.52	86646	0.52
TCP CUBIC	 Verizon-LTE-driving.down	 Verizon-LTE-driving.up	9.84	9081	9.91
TCP HYBLA	 Verizon-LTE-short.down	 Verizon-LTE-short.up	5.01	7169	5.04
TCP HYBLA	 ATT-LTE-driving.down	 ATT-LTE-driving.up	5.18	12817	5.19
TCP HYBLA	 TMobile-UMTS-driving.down	 TMobile-UMTS-driving.up	2.02	27613	2.03
TCP HYBLA	 Verizon-EVDO-driving.down	 Verizon-EVDO-driving.up	0.52	98949	0.52
TCP HYBLA	 Verizon-LTE-driving.down	 Verizon-LTE-driving.up	9.86	7697	9.92
TCP BIC	 Verizon-LTE-short.down	 Verizon-LTE-short.up	5.03	8786	5.04
TCP BIC	 ATT-LTE-driving.down	 ATT-LTE-driving.up	5.18	10002	5.19
TCP BIC	 TMobile-UMTS-driving.down	 TMobile-UMTS-driving.up	2.02	27902	2.03
TCP BIC	 Verizon-EVDO-driving.down	 Verizon-EVDO-driving.up	0.52	106610	0.52
TCP BIC	 Verizon-LTE-driving.down	 Verizon-LTE-driving.up	9.86	10501	9.92
